"TIME","K.kg/m^3"
2021-02-02 04:38:00,0.121141
2021-02-02 05:38:00,0.121101
2021-02-02 06:38:00,0.121192
2021-02-02 07:38:00,0.121458
2021-02-02 08:38:00,0.121576
2021-02-02 09:38:00,0.121574
2021-02-02 10:38:00,0.121034
2021-02-02 11:38:00,0.120364
2021-02-02 12:38:00,0.119919
2021-02-02 13:38:00,0.119407
2021-02-02 14:38:00,0.119348
2021-02-02 15:38:00,0.119289
2021-02-02 16:38:00,0.120163
2021-02-02 17:38:00,0.119893
2021-02-02 18:38:00,0.120334
2021-02-02 19:38:00,0.120817
2021-02-02 20:38:00,0.121272
2021-02-02 21:38:00,0.121462
2021-02-02 22:38:00,0.121407
2021-02-02 23:38:00,0.12151
2021-02-03 00:38:00,0.121501
2021-02-03 01:38:00,0.12132
2021-02-03 02:38:00,0.121179
2021-02-03 03:38:00,0.121113
2021-02-03 04:38:00,0.121056
2021-02-03 05:38:00,0.121033
2021-02-03 06:38:00,0.120862
2021-02-03 07:38:00,0.120825
2021-02-03 08:38:00,0.120764
2021-02-03 09:38:00,0.120764
2021-02-03 10:38:00,0.120496
2021-02-03 11:38:00,0.119897
2021-02-03 12:38:00,0.119149
2021-02-03 13:38:00,0.1188
2021-02-03 14:38:00,0.118385
2021-02-03 15:38:00,0.118082
2021-02-03 16:38:00,0.118806
2021-02-03 17:38:00,0.119294
2021-02-03 18:38:00,0.119662
2021-02-03 19:38:00,0.119803
2021-02-03 20:38:00,0.119992
2021-02-03 21:38:00,0.120013
2021-02-03 22:38:00,0.120095
2021-02-03 23:38:00,0.119995
2021-02-04 00:38:00,0.120032
2021-02-04 01:38:00,0.119976
2021-02-04 02:38:00,0.119963
2021-02-04 03:38:00,0.119859
2021-02-04 04:38:00,0.119856
2021-02-04 05:38:00,0.119771
2021-02-04 06:38:00,0.119633
2021-02-04 07:38:00,0.119656
2021-02-04 08:38:00,0.119647
2021-02-04 09:38:00,0.118983
2021-02-04 10:38:00,0.118898
2021-02-04 11:38:00,0.116867
2021-02-04 12:38:00,0.118166
2021-02-04 13:38:00,0.1181
2021-02-04 14:38:00,0.117917
2021-02-04 15:38:00,0.117967
2021-02-04 16:38:00,0.118317
2021-02-04 17:38:00,0.118722
2021-02-04 18:38:00,0.119038
2021-02-04 19:38:00,0.119199
2021-02-04 20:38:00,0.119429
2021-02-04 21:38:00,0.119576
2021-02-04 22:38:00,0.119574
2021-02-04 23:38:00,0.119606
2021-02-05 00:38:00,0.119601
2021-02-05 01:38:00,0.119303
2021-02-05 02:38:00,0.119345
2021-02-05 03:38:00,0.119267
2021-02-05 04:38:00,0.119304
2021-02-05 05:38:00,0.119247
2021-02-05 06:38:00,0.11937
2021-02-05 07:38:00,0.119322
2021-02-05 08:38:00,0.119191
2021-02-05 09:38:00,0.118933
2021-02-05 10:38:00,0.118472
2021-02-05 11:38:00,0.118209
2021-02-05 12:38:00,0.117777
2021-02-05 13:38:00,0.11742
2021-02-05 14:38:00,0.117268
2021-02-05 15:38:00,0.117033
2021-02-05 16:38:00,0.117323
2021-02-05 17:38:00,0.117586
2021-02-05 18:38:00,0.117782
2021-02-05 19:38:00,0.11796
2021-02-05 20:38:00,0.118125
2021-02-05 21:38:00,0.118266
2021-02-05 22:38:00,0.11838
2021-02-05 23:38:00,0.118573
2021-02-06 00:38:00,0.118673
2021-02-06 01:38:00,0.118788
2021-02-06 02:38:00,0.118965
2021-02-06 03:38:00,0.118864
2021-02-06 04:38:00,0.118896
2021-02-06 05:38:00,0.118912
2021-02-06 06:38:00,0.119
2021-02-06 07:38:00,0.118987
2021-02-06 08:38:00,0.11889
2021-02-06 09:38:00,0.118618
2021-02-06 10:38:00,0.118129
2021-02-06 11:38:00,0.11736
2021-02-06 12:38:00,0.116657
2021-02-06 13:38:00,0.116226
2021-02-06 14:38:00,0.115814
2021-02-06 15:38:00,0.115789
2021-02-06 16:38:00,0.116177
2021-02-06 17:38:00,0.116679
2021-02-06 18:38:00,0.117112
2021-02-06 19:38:00,0.117346
2021-02-06 20:38:00,0.117577
2021-02-06 21:38:00,0.117573
2021-02-06 22:38:00,0.117785
2021-02-06 23:38:00,0.11779
2021-02-07 00:38:00,0.117918
2021-02-07 01:38:00,0.117892
2021-02-07 02:38:00,0.117903
2021-02-07 03:38:00,0.11769
2021-02-07 04:38:00,0.117719
2021-02-07 05:38:00,0.117757
2021-02-07 06:38:00,0.11778
2021-02-07 07:38:00,0.117649
2021-02-07 08:38:00,0.117748
2021-02-07 09:38:00,0.117542
2021-02-07 10:38:00,0.117536
2021-02-07 11:38:00,0.117139
2021-02-07 12:38:00,0.116873
2021-02-07 13:38:00,0.116674
2021-02-07 14:38:00,0.116522
2021-02-07 15:38:00,0.116434
2021-02-07 16:38:00,0.116455
2021-02-07 17:38:00,0.116713
2021-02-07 18:38:00,0.116884
2021-02-07 19:38:00,0.116986
2021-02-07 20:38:00,0.116947
2021-02-07 21:38:00,0.117197
2021-02-07 22:38:00,0.117205
2021-02-07 23:38:00,0.117
2021-02-08 00:38:00,0.117
2021-02-08 01:38:00,0.117195
2021-02-08 02:38:00,0.11726
2021-02-08 03:38:00,0.117423
2021-02-08 04:38:00,0.117494
2021-02-08 05:38:00,0.117608
2021-02-08 06:38:00,0.117811
2021-02-08 07:38:00,0.118139
2021-02-08 08:38:00,0.117969
2021-02-08 09:38:00,0.117877
2021-02-08 10:38:00,0.117426
2021-02-08 11:38:00,0.116588
2021-02-08 12:38:00,0.116114
2021-02-08 13:38:00,0.115545
2021-02-08 14:38:00,0.115373
2021-02-08 15:38:00,0.11563
2021-02-08 16:38:00,0.115974
2021-02-08 17:38:00,0.116438
2021-02-08 18:38:00,0.116748
2021-02-08 19:38:00,0.116976
2021-02-08 20:38:00,0.117292
2021-02-08 21:38:00,0.117505
2021-02-08 22:38:00,0.117427
2021-02-08 23:38:00,0.117294
2021-02-09 00:38:00,0.117372
2021-02-09 01:38:00,0.117236
2021-02-09 02:38:00,0.117271
2021-02-09 03:38:00,0.11724
2021-02-09 04:38:00,0.117176
2021-02-09 05:38:00,0.117254
2021-02-09 06:38:00,0.11743
2021-02-09 07:38:00,0.117548
2021-02-09 08:38:00,0.117473
2021-02-09 09:38:00,0.1169
2021-02-09 10:38:00,0.117128
2021-02-09 11:38:00,0.11655
2021-02-09 12:38:00,0.115788
2021-02-09 13:38:00,0.115102
2021-02-09 14:38:00,0.114741
2021-02-09 15:38:00,0.114885
2021-02-09 16:38:00,0.115152
2021-02-09 17:38:00,0.115704
2021-02-09 18:38:00,0.116051
2021-02-09 19:38:00,0.116288
2021-02-09 20:38:00,0.116548
2021-02-09 21:38:00,0.116917
2021-02-09 22:38:00,0.117006
