"TIME","Oxy.kg/m^3"
2020-12-14 00:07:00,0.00535
2020-12-14 01:07:00,0.00557
2020-12-14 02:07:00,0.00566
2020-12-14 03:07:00,0.00585
2020-12-14 04:07:00,0.00594
2020-12-14 05:07:00,0.00603
2020-12-14 06:07:00,0.00614
2020-12-14 07:07:00,0.00621
2020-12-14 08:07:00,0.0063
2020-12-14 09:07:00,0.00641
2020-12-14 10:07:00,0.00537
2020-12-14 11:07:00,0.00546
2020-12-14 12:07:00,0.00541
2020-12-14 13:07:00,0.0054
2020-12-14 14:07:00,0.0054
2020-12-14 15:07:00,0.0056
2020-12-14 16:07:00,0.00532
2020-12-14 17:07:00,0.00419
2020-12-14 18:07:00,0.00375
2020-12-14 19:07:00,0.00385
2020-12-14 20:07:00,0.00405
2020-12-14 21:07:00,0.00435
2020-12-14 22:07:00,0.00458
2020-12-14 23:07:00,0.00479
2020-12-15 00:07:00,0.00491
2020-12-15 01:07:00,0.00517
2020-12-15 02:07:00,0.00522
2020-12-15 03:07:00,0.00533
2020-12-15 04:07:00,0.00559
2020-12-15 05:07:00,0.00552
2020-12-15 06:07:00,0.00573
2020-12-15 07:07:00,0.0059
2020-12-15 08:07:00,0.00603
2020-12-15 09:07:00,0.00605
2020-12-15 10:07:00,0.00508
2020-12-15 11:07:00,0.0051
2020-12-15 12:07:00,0.00503
2020-12-15 13:07:00,0.00521
2020-12-15 14:07:00,0.00539
2020-12-15 15:07:00,0.0054
2020-12-15 16:07:00,0.00531
2020-12-15 17:07:00,0.00418
2020-12-15 18:07:00,0.00374
2020-12-15 19:07:00,0.00358
2020-12-15 20:07:00,0.00416
2020-12-15 21:07:00,0.00433
2020-12-15 22:07:00,0.00457
2020-12-15 23:07:00,0.00482
2020-12-16 00:07:00,0.0048
2020-12-16 01:07:00,0.00519
2020-12-16 02:07:00,0.00533
2020-12-16 03:07:00,0.00539
2020-12-16 04:07:00,0.00553
2020-12-16 05:07:00,0.00568
2020-12-16 06:07:00,0.0055
2020-12-16 07:07:00,0.00579
2020-12-16 08:07:00,0.00579
2020-12-16 09:07:00,0.00581
2020-12-16 10:07:00,0.00475
2020-12-16 11:07:00,0.00476
2020-12-16 12:07:00,0.00471
2020-12-16 13:07:00,0.00424
2020-12-16 14:07:00,0.00472
2020-12-16 15:07:00,0.00501
2020-12-16 16:07:00,0.00478
2020-12-16 17:07:00,0.00425
2020-12-16 18:07:00,0.00433
2020-12-16 19:07:00,0.00414
2020-12-16 20:07:00,0.0046
2020-12-16 21:07:00,0.00487
2020-12-16 22:07:00,0.00509
2020-12-16 23:07:00,0.0054
2020-12-17 00:07:00,0.00568
2020-12-17 01:07:00,0.00554
2020-12-17 02:07:00,0.00565
2020-12-17 03:07:00,0.00567
2020-12-17 04:07:00,0.00498
2020-12-17 05:07:00,0.0055
2020-12-17 06:07:00,0.0055
2020-12-17 07:07:00,0.00556
2020-12-17 08:07:00,0.00583
2020-12-17 09:07:00,0.00565
2020-12-17 10:07:00,0.00669
2020-12-17 11:07:00,0.00631
2020-12-17 12:07:00,0.00696
2020-12-17 13:07:00,0.00732
2020-12-17 14:07:00,0.00757
2020-12-17 15:07:00,0.00771
2020-12-17 16:07:00,0.00759
2020-12-17 17:07:00,0.00525
2020-12-17 18:07:00,0.00503
2020-12-17 19:07:00,0.00499
2020-12-17 20:07:00,0.00556
2020-12-17 21:07:00,0.00584
2020-12-17 22:07:00,0.00608
2020-12-17 23:07:00,0.00637
2020-12-18 00:07:00,0.00659
2020-12-18 01:07:00,0.00677
2020-12-18 02:07:00,0.00694
2020-12-18 03:07:00,0.00717
2020-12-18 04:07:00,0.00731
2020-12-18 05:07:00,0.00736
2020-12-18 06:07:00,0.00737
2020-12-18 07:07:00,0.00735
2020-12-18 08:07:00,0.00716
2020-12-18 09:07:00,0.00682
2020-12-18 10:07:00,0.00581
2020-12-18 11:07:00,0.00565
2020-12-18 12:07:00,0.0058
2020-12-18 13:07:00,0.00506
2020-12-18 14:07:00,0.0058
2020-12-18 15:07:00,0.00607
2020-12-18 16:07:00,0.00602
2020-12-18 17:07:00,0.00453
2020-12-18 18:07:00,0.00376
2020-12-18 19:07:00,0.00374
2020-12-18 20:07:00,0.00396
2020-12-18 21:07:00,0.00435
2020-12-18 22:07:00,0.00482
2020-12-18 23:07:00,0.00508
2020-12-19 00:07:00,0.00534
2020-12-19 01:07:00,0.00545
2020-12-19 02:07:00,0.00566
2020-12-19 03:07:00,0.0057
2020-12-19 04:07:00,0.00572
2020-12-19 05:07:00,0.0056
2020-12-19 06:07:00,0.00544
2020-12-19 07:07:00,0.00554
2020-12-19 08:07:00,0.00542
2020-12-19 09:07:00,0.00547
2020-12-19 10:07:00,0.00475
2020-12-19 11:07:00,0.0049
2020-12-19 12:07:00,0.00476
2020-12-19 13:07:00,0.00475
2020-12-19 14:07:00,0.00513
2020-12-19 15:07:00,0.00536
2020-12-19 16:07:00,0.00551
2020-12-19 17:07:00,0.00391
2020-12-19 18:07:00,0.00365
2020-12-19 19:07:00,0.00364
2020-12-19 20:07:00,0.00409
2020-12-19 21:07:00,0.00429
2020-12-19 22:07:00,0.00465
2020-12-19 23:07:00,0.00493
2020-12-20 00:07:00,0.00505
2020-12-20 01:07:00,0.00523
2020-12-20 02:07:00,0.00544
2020-12-20 03:07:00,0.00507
2020-12-20 04:07:00,0.00525
2020-12-20 05:07:00,0.00538
2020-12-20 06:07:00,0.0055
2020-12-20 07:07:00,0.00579
2020-12-20 08:07:00,0.00576
2020-12-20 09:07:00,0.00581
2020-12-20 10:07:00,0.00481
2020-12-20 11:07:00,0.00491
2020-12-20 12:07:00,0.0048
2020-12-20 13:07:00,0.00485
2020-12-20 14:07:00,0.005
2020-12-20 15:07:00,0.00519
2020-12-20 16:07:00,0.00508
2020-12-20 17:07:00,0.00358
2020-12-20 18:07:00,0.00356
2020-12-20 19:07:00,0.00326
2020-12-20 20:07:00,0.00393
2020-12-20 22:34:00,0.00431
2020-12-20 23:34:00,0.0048
2020-12-21 00:34:00,0.00502
2020-12-21 01:34:00,0.00507
2020-12-21 02:34:00,0.00523
2020-12-21 03:34:00,0.00549
2020-12-21 04:34:00,0.00555
2020-12-21 05:34:00,0.00582
2020-12-21 06:34:00,0.006
2020-12-21 07:34:00,0.00609
2020-12-21 08:34:00,0.00593
2020-12-21 09:34:00,0.00525
2020-12-21 10:34:00,0.00493
2020-12-21 11:34:00,0.0055
2020-12-21 12:34:00,0.00549
2020-12-21 13:34:00,0.00505
2020-12-21 14:34:00,0.00525
2020-12-21 15:34:00,0.00541
2020-12-21 16:34:00,0.00543
2020-12-21 17:34:00,0.00421
2020-12-21 18:34:00,0.00384
2020-12-21 19:34:00,0.004
2020-12-21 20:34:00,0.00429
2020-12-21 21:34:00,0.00463
2020-12-21 22:34:00,0.00486
2020-12-21 23:34:00,0.00502
2020-12-22 00:34:00,0.00509
2020-12-22 01:34:00,0.00527
2020-12-22 02:34:00,0.00538
2020-12-22 03:34:00,0.00562
2020-12-22 04:34:00,0.00545
2020-12-22 05:34:00,0.00572
2020-12-22 06:34:00,0.00587
2020-12-22 07:34:00,0.00584
2020-12-22 08:34:00,0.00591
2020-12-22 09:34:00,0.00555
2020-12-22 10:34:00,0.00464
2020-12-22 11:34:00,0.00465
2020-12-22 12:34:00,0.00503
2020-12-22 13:34:00,0.00459
2020-12-22 14:34:00,0.00525
2020-12-22 15:34:00,0.00524
2020-12-22 16:34:00,0.00501
2020-12-22 17:34:00,0.00401
2020-12-22 18:34:00,0.00375
2020-12-22 19:34:00,0.00402
2020-12-22 20:34:00,0.00432
2020-12-22 21:34:00,0.0045
2020-12-22 22:34:00,0.00461
2020-12-22 23:34:00,0.00492
2020-12-23 00:34:00,0.0051
2020-12-23 01:34:00,0.00518
2020-12-23 02:34:00,0.0052
2020-12-23 03:34:00,0.00537
2020-12-23 04:34:00,0.00543
2020-12-23 05:34:00,0.00559
2020-12-23 06:34:00,0.00563
2020-12-23 07:34:00,0.0058
2020-12-23 08:34:00,0.00595
2020-12-23 09:34:00,0.00579
2020-12-23 10:34:00,0.00516
2020-12-23 11:34:00,0.00527
2020-12-23 12:34:00,0.00506
2020-12-23 13:34:00,0.0046
2020-12-23 14:34:00,0.00489
2020-12-23 15:34:00,0.005
2020-12-23 16:34:00,0.00465
2020-12-23 17:34:00,0.00383
2020-12-23 20:03:00,0.0039
2020-12-23 21:03:00,0.00426
2020-12-23 22:03:00,0.00452
2020-12-23 23:03:00,0.00472
2020-12-24 00:03:00,0.0048
2020-12-24 01:03:00,0.00493
2020-12-24 02:03:00,0.00508
2020-12-24 03:03:00,0.00506
2020-12-24 04:03:00,0.00525
2020-12-24 05:03:00,0.00537
2020-12-24 06:03:00,0.00526
2020-12-24 07:03:00,0.0054
2020-12-24 08:03:00,0.00543
2020-12-24 09:03:00,0.00546
2020-12-24 10:03:00,0.00514
2020-12-24 11:03:00,0.00488
2020-12-24 12:03:00,0.00455
2020-12-24 13:03:00,0.00467
2020-12-24 14:03:00,0.00443
2020-12-24 15:03:00,0.00478
2020-12-24 16:03:00,0.00485
2020-12-24 17:03:00,0.00377
2020-12-24 18:03:00,0.00346
2020-12-24 19:03:00,0.00335
2020-12-24 20:03:00,0.0038
2020-12-24 21:03:00,0.00426
2020-12-24 22:03:00,0.00471
2020-12-24 23:03:00,0.00512
2020-12-25 00:03:00,0.0053
2020-12-25 01:03:00,0.00544
2020-12-25 02:03:00,0.00559
2020-12-25 03:03:00,0.00567
2020-12-25 04:03:00,0.00577
2020-12-25 05:03:00,0.00569
2020-12-25 06:03:00,0.00592
2020-12-25 07:03:00,0.00595
2020-12-25 08:03:00,0.00598
2020-12-25 09:03:00,0.00594
2020-12-25 10:03:00,0.00492
2020-12-25 11:03:00,0.00482
2020-12-25 12:03:00,0.00428
2020-12-25 13:03:00,0.00445
2020-12-25 14:03:00,0.00467
2020-12-25 15:03:00,0.0049
2020-12-25 16:03:00,0.00511
2020-12-25 17:03:00,0.00402
2020-12-25 18:03:00,0.00383
2020-12-25 19:03:00,0.00393
