"TIME","Amm.kg/m^3"
2020-08-20 19:28:00,0.00330603
2020-08-20 20:28:00,0.00339133
2020-08-20 21:28:00,0.00333957
2020-08-20 22:28:00,0.0034179
2020-08-20 23:28:00,0.00340246
2020-08-21 00:28:00,0.00332194
2020-08-21 01:28:00,0.00326631
2020-08-21 02:28:00,0.00310712
2020-08-21 03:28:00,0.00276315
2020-08-21 04:28:00,0.00276419
2020-08-21 05:28:00,0.00256879
2020-08-21 06:28:00,0.00227397
2020-08-21 07:28:00,0.00210066
2020-08-21 08:28:00,0.00186324
2020-08-21 09:28:00,0.00208397
2020-08-21 10:28:00,0.00194313
2020-08-21 11:28:00,0.00186861
2020-08-21 12:28:00,0.00200775
2020-08-21 13:28:00,0.00223741
2020-08-21 14:28:00,0.00240656
2020-08-21 15:28:00,0.00255085
2020-08-21 16:28:00,0.0031111
2020-08-21 17:28:00,0.00322924
2020-08-21 18:28:00,0.00352417
2020-08-21 19:28:00,0.00354446
2020-08-21 20:28:00,0.00349887
2020-08-21 21:28:00,0.00357094
2020-08-21 22:28:00,0.00357703
2020-08-21 23:28:00,0.00352318
2020-08-22 00:28:00,0.00335307
2020-08-22 01:28:00,0.0031735
2020-08-22 02:28:00,0.00301889
2020-08-22 03:28:00,0.00295759
2020-08-22 04:28:00,0.0027141
2020-08-22 05:28:00,0.00279794
2020-08-22 06:28:00,0.00228799
2020-08-22 07:28:00,0.00230917
2020-08-22 08:28:00,0.00221955
2020-08-22 09:28:00,0.00195443
2020-08-22 10:28:00,0.00196977
2020-08-22 11:28:00,0.00194647
2020-08-22 12:28:00,0.00203835
2020-08-22 13:28:00,0.0023993
2020-08-22 14:28:00,0.00250489
2020-08-22 15:28:00,0.00277704
2020-08-22 16:28:00,0.00340399
2020-08-22 17:28:00,0.00350933
2020-08-22 18:28:00,0.00373284
2020-08-22 19:28:00,0.00373406
2020-08-22 20:28:00,0.00383015
2020-08-22 21:28:00,0.00377821
2020-08-22 22:28:00,0.00388255
2020-08-22 23:28:00,0.0037925
2020-08-23 00:28:00,0.00369789
2020-08-23 01:28:00,0.00355742
2020-08-23 02:28:00,0.00340601
2020-08-23 03:28:00,0.00328465
2020-08-23 04:28:00,0.00316883
2020-08-23 05:28:00,0.00289428
2020-08-23 06:28:00,0.00297814
2020-08-23 07:28:00,0.00268643
2020-08-23 08:28:00,0.00249493
2020-08-23 09:28:00,0.002268
2020-08-23 10:28:00,0.00209284
2020-08-23 11:28:00,0.00173308
2020-08-23 12:28:00,0.00166279
2020-08-23 13:28:00,0.0016502
2020-08-23 14:28:00,0.00162146
2020-08-23 15:28:00,0.00174824
2020-08-23 16:28:00,0.00169337
2020-08-23 17:28:00,0.00183893
2020-08-23 18:28:00,0.00191826
2020-08-23 19:28:00,0.00200575
2020-08-23 20:28:00,0.00206311
2020-08-23 21:28:00,0.0018901
2020-08-23 22:28:00,0.0020698
2020-08-23 23:28:00,0.00186502
2020-08-24 00:28:00,0.00147827
2020-08-24 01:28:00,0.00130445
2020-08-24 02:28:00,0.00123617
2020-08-24 03:28:00,0.0014105
2020-08-24 04:28:00,0.00133376
2020-08-24 05:28:00,0.00115941
2020-08-24 06:28:00,0.00102566
2020-08-24 07:28:00,0.00107425
2020-08-24 08:28:00,0.000918024
2020-08-24 09:28:00,0.00111511
2020-08-24 10:28:00,0.00070118
2020-08-24 11:28:00,0.000816492
2020-08-24 12:28:00,0.000865568
2020-08-24 13:28:00,0.000933046
2020-08-24 14:28:00,0.000968839
2020-08-24 15:28:00,0.000925856
2020-08-24 16:28:00,0.000847632
2020-08-24 17:28:00,0.000894298
2020-08-24 18:28:00,0.00101805
2020-08-24 19:28:00,0.00127051
2020-08-24 20:28:00,0.00120799
2020-08-24 21:28:00,0.00125151
2020-08-24 22:28:00,0.00128337
2020-08-24 23:28:00,0.00122134
2020-08-25 00:28:00,0.00109794
2020-08-25 01:28:00,0.00102805
2020-08-25 02:28:00,0.000949743
2020-08-25 03:28:00,0.000871589
2020-08-25 04:28:00,0.000756338
2020-08-25 05:28:00,0.000706219
2020-08-25 06:28:00,0.000790627
